ForcingN	ModelN		ForcingT	ModelT
0.14172931	-0.44977937		0.142618714	0.490767432
0.14247846	-0.69188503		0.143393291	0.635450134
0.14240903	-0.73184673		0.143380252	0.627925895
0.14227531	-0.67331767		0.143319307	0.585576194
0.14208600	-0.58055321		0.14319973	0.57749034
0.14186049	-0.31856533		0.143022363	0.641841554
0.07041147	0.03832010		0.064695348	0.77985895
0.06981366	0.11589308		0.064038186	0.849372243
0.06965129	0.06374453		0.06382008	0.810938332
0.06955111	0.13772548		0.063647989	0.786978234
0.06950652	0.25786485		0.063534517	0.818757167
0.06949812	0.32822992		0.063478837	0.842250642
0.06946958	0.30291814		0.063006247	0.799601515
0.06944424	0.22333613		0.063003632	0.713404503
0.06937058	0.17292830		0.062986372	0.635336396
0.06923684	0.19146466		0.062925403	0.579663097
0.06904752	0.23629525		0.062805827	0.540942202
0.06882201	0.15212650		0.06262846	0.451618882
0.18436901	-0.12774013		0.185442019	0.245930581
0.18479284	-0.35610340		0.18587734	0.021585896
0.18463605	-0.35287283		0.185665169	-0.073487201
0.18453590	-0.22446530		0.185493109	-0.026939116
0.18449130	-0.06852027		0.185379638	0.073055567
0.18448290	0.04738091		0.185323957	0.143401516
0.18448912	0.04839436		0.185420431	0.149191214
0.18446397	-0.01691345		0.185420906	0.103242999
0.18439031	-0.03225012		0.185403663	0.045884204
0.18425657	0.05083481		0.185342694	0.016932532
0.18406726	0.15661333		0.185223118	0.02958478
0.18384175	-0.13466523		0.18504575	-0.041014325
0.01983475	-0.64502648		0.017745202	-0.365238474
0.01873125	-0.68727442		0.016604785	-0.80006024
0.01856612	-0.53287347		0.016384055	-1.051978666
0.01846592	-0.44381719		0.016211949	-1.090654548
0.01842133	-0.31057968		0.016098478	-1.039800184
0.01841293	-0.23995757		0.016042797	-0.975290606
0.01842937	-0.26680144		0.016363481	-0.940739107
0.01840429	-0.33383667		0.016365175	-0.961017615
0.01833062	-0.34951216		0.016347938	-1.016690408
0.01819689	-0.27131519		0.016286969	-1.064033747
0.01800757	-0.13011932		0.016167393	-1.081982562
0.01778206	-0.00337500		0.015990026	-0.887271112
0.13562105	0.05067307		0.131823784	-0.344969553
0.13605740	0.02173769		0.132221195	0.150035413
0.13590068	-0.02834242		0.132008818	0.296680555
0.13580053	0.00809995		0.131836757	0.310781042
0.13575594	0.11672814		0.131723286	0.358930794
0.13574754	0.18304158		0.131667605	0.405881826
0.13572855	0.14976535		0.131323901	0.402907526
0.13570326	0.05132745		0.131321986	0.350054344
0.13562960	-0.03637248		0.131304729	0.283602716
0.13549586	-0.07650953		0.131243761	0.23387291
0.13530654	-0.05283190		0.131124184	0.214849669
0.13508104	0.05592414		0.130946817	0.060334366
0.11387945	0.13255710		0.115962657	-0.370293192
0.11355616	0.07764433		0.115649538	-0.752487953
0.11339529	0.03443513		0.115433301	-0.817804223
0.11329512	0.10560639		0.11526122	-0.719373797
0.11325052	0.22440486		0.115147748	-0.600031945
0.11324212	0.29466556		0.115092068	-0.515727331
0.11325315	0.26692574		0.115293407	-0.51585102
0.11322803	0.18075669		0.115294452	-0.576565277
0.11315437	0.11897498		0.115277211	-0.637785915
0.11302063	0.12203142		0.115216243	-0.660917481
0.11283131	0.14941617		0.115096666	-0.645214595
0.11260580	0.01889049		0.114919299	-0.651138005
0.12275873	-0.27676308		0.118395217	-0.734248183
0.12260675	-0.47150719		0.118182362	-0.85374838
0.12244681	-0.51487225		0.11796667	-0.936128566
0.12234664	-0.46668021		0.117794592	-0.953994636
0.12230205	-0.35764166		0.117681121	-0.91885305
0.12229365	-0.29087684		0.11762544	-0.879600358
0.12226988	-0.32071052		0.117238587	-0.889477929
0.12224457	-0.40911486		0.117236437	-0.94687253
0.12217091	-0.47847653		0.11721918	-1.013065249
0.12203717	-0.49121557		0.117158211	-1.05840058
0.12184785	-0.50156165		0.117038634	-1.064859257
0.12162234	-0.62837642		0.116861267	-1.01984282
0.12056970	-0.84353885		0.11794247	-0.958298096
0.12035649	-0.98680721		0.117716609	-0.951233576
0.12019622	-1.01433986		0.117500847	-0.987313474
0.12009605	-0.94655470		0.117328768	-0.990848624
0.12005146	-0.82944470		0.117215297	-0.94323875
0.12004306	-0.75910445		0.117159616	-0.879073772
0.12006751	-0.78418901		0.117576809	-0.839772979
0.12004246	-0.86585955		0.117579026	-0.855220634
0.11996880	-0.92031544		0.117561792	-0.911325399
0.11983506	-0.90363834		0.117500823	-0.963713625
0.11964575	-0.83576357		0.117381247	-0.99115153
0.11942024	-0.58445003		0.11720388	-0.811513707
0.00607916	-0.17338067		0.004941505	-0.327589789
0.00525248	0.03055729		0.004100024	0.037884377
0.00508886	0.05138069		0.003880918	0.065095592
0.00498867	0.13790000		0.003708821	0.034238362
0.00494408	0.26741729		0.003595349	0.073888243
0.00493568	0.34116290		0.003539669	0.11878513
0.00492454	0.32082384		0.003357399	0.119720578
0.00489930	0.25477139		0.00335636	0.071600228
0.00482564	0.23251992		0.003339109	0.007112749
0.00469190	0.29568334		0.00327814	-0.041990696
0.00450258	0.40555935		0.003158564	-0.068499272
0.00427707	0.47459549		0.002981197	-0.081603513
0.16357244	0.40452550		0.162870278	-0.048303412
0.16423529	0.26209267		0.163506973	0.041756073
0.16407981	0.23568189		0.163295895	0.095663171
0.16397966	0.33584741		0.163123841	0.088446268
0.16393507	0.46165830		0.16301037	0.093668914
0.16392667	0.53355782		0.16295469	0.108363328
0.16391547	0.51049786		0.162783429	0.080260979
0.16389023	0.43790377		0.162782451	0.012547741
0.16381656	0.40289688		0.162765199	-0.061235812
0.16368283	0.44742189		0.162704231	-0.123594674
0.16349351	0.49585280		0.162584654	-0.188909817
0.16326800	0.01310422		0.162407287	-0.181748259
0.03459064	-0.86082337		0.035480288	-0.019388269
0.03368017	-1.16886519		0.034559158	0.119557668
0.03351609	-1.07401838		0.034339619	0.117136734
0.03341590	-0.99080333		0.03416752	0.107014744
0.03337131	-0.86588143		0.034054048	0.150603948
0.03336291	-0.79582793		0.033998367	0.207103833
0.03337764	-0.82329690		0.034243134	0.238934928
0.03335254	-0.90100093		0.034244415	0.219733809
0.03327888	-0.94138045		0.034227176	0.164068166
0.03314514	-0.90019794		0.034166207	0.113940595
0.03295582	-0.81527376		0.034046631	0.084552453
0.03273031	-0.53017543		0.033869264	0.044703704
0.12370025	-0.12177448		0.120017157	-0.012051268
0.12398981	-0.04128162		0.120253331	-0.048813205
0.12383229	-0.13811112		0.120040078	-0.077692243
0.12373213	-0.09614441		0.119868013	-0.108705419
0.12368754	0.01305131		0.119754542	-0.106516945
0.12367914	0.07872273		0.119698861	-0.11170485
0.12365176	0.04593029		0.119235161	-0.195326003
0.12362643	-0.04822391		0.119232594	-0.315325235
0.12355277	-0.12737318		0.119215334	-0.404879375
0.12341903	-0.15495820		0.119154365	-0.465964262
0.12322971	-0.09830201		0.119034788	-0.522964665
0.12300421	-0.07241836		0.118857421	-0.519610328
0.09283096	-0.24089090		0.088065489	-0.400330518
0.09245866	-0.44518431		0.087666511	-0.305631758
0.09229752	-0.51279664		0.087449808	-0.321929806
0.09219734	-0.46037009		0.087277724	-0.337903576
0.09215275	-0.35078232		0.087164253	-0.301561188
0.09214435	-0.27917147		0.087108572	-0.236038564
0.09218074	-0.30188365		0.087723009	-0.168009877
0.09215576	-0.39254552		0.087726298	-0.151930918
0.09208210	-0.47216668		0.08770907	-0.197253843
0.09194837	-0.49819542		0.087648102	-0.249715685
0.09175905	-0.54351914		0.087528525	-0.28223498
0.09153354	-0.64433334		0.087351158	-0.275910833
0.07826612	-0.77484351		0.069723694	-0.200031859
0.07798618	-0.94099259		0.069396218	-0.088528175
0.07782555	-1.03902330		0.069179903	0.01387525
0.07772538	-0.99678920		0.069007822	0.123503575
0.07768078	-0.89106904		0.06889435	0.248103151
0.07767238	-0.82563121		0.06883867	0.371246919
0.07764641	-0.85776455		0.068429435	0.467366359
0.07762109	-0.95013165		0.068427163	0.492682324
0.07754743	-1.02665822		0.068409905	0.458147877
0.07741369	-1.04968896		0.068348936	0.435865569
0.07722437	-1.04792087		0.06822936	0.457622664
0.07699887	-0.98079476		0.068051993	0.459914469
0.18712728	-0.88155591		0.184395438	0.35934762
0.18752150	-0.90446586		0.184795618	0.215383231
0.18736455	-0.94876291		0.184583255	0.170704951
0.18726440	-0.87830958		0.184411195	0.247264607
0.18721981	-0.75967679		0.184297724	0.366610186
0.18721141	-0.68991090		0.184242043	0.439295479
0.18723297	-0.71412207		0.184615487	0.412564869
0.18720791	-0.79060101		0.184617467	0.329106026
0.18713425	-0.83463096		0.184600232	0.261166615
0.18700051	-0.80174466		0.184539263	0.237657478
0.18681119	-0.73221628		0.184419687	0.261660953
0.18658568	-0.47672394		0.18424232	0.118485156
0.01261531	-0.24749412		0.014553442	-0.315508762
0.01145738	-0.44444390		0.013400053	-0.60543786
0.01129194	-0.62957775		0.013179252	-0.530799164
0.01119175	-0.55826507		0.013007146	-0.361681486
0.01114715	-0.44879902		0.012893674	-0.221624197
0.01113875	-0.38002111		0.012837994	-0.105265703
0.01112984	-0.40658276		0.012690915	-0.039843841
0.01110462	-0.49302334		0.012690067	-0.041736098
0.01103095	-0.56099152		0.012672817	-0.083466768
0.01089722	-0.57141722		0.012611848	-0.101147642
0.01070790	-0.57705298		0.012492271	-0.059093377
0.01048239	-0.45977455		0.012314904	-0.006819043
0.18968190	-0.12966847		0.197259601	-0.039669767
0.19045349	0.05747825		0.198032384	-0.137487351
0.19029860	0.00729960		0.197822046	-0.184330117
0.19019846	0.01552351		0.197649996	-0.14315753
0.19015387	0.11879731		0.197536525	-0.057798793
0.19014547	0.18286075		0.197480845	0.023400578
0.19012183	0.14847692		0.197109434	0.06121814
0.19009652	0.05011049		0.197107368	0.039009976
0.19002286	-0.03948094		0.197090111	-0.016088271
0.18988912	-0.08550786		0.197029142	-0.057580431
0.18969980	-0.15702760		0.196909565	-0.055171104
0.18947429	-0.29303662		0.196732198	-0.094776953
0.08668825	-0.30843461		0.086414249	-0.302312938
0.08591923	-0.17234136		0.08558333	-0.558977248
0.08575593	-0.07101122		0.085364281	-0.676690086
0.08565574	0.02925946		0.085192184	-0.667409556
0.08561115	0.16554948		0.085078713	-0.606679183
0.08560275	0.23547682		0.085023032	-0.544617175
0.08562968	0.20773910		0.085486324	-0.522775039
0.08560465	0.14620989		0.085488792	-0.55415945
0.08553099	0.14290548		0.085471559	-0.613665795
0.08539725	0.23733333		0.085410591	-0.661513456
0.08520793	0.35509205		0.085291014	-0.679676349
0.08498242	0.16749572		0.085113647	-0.641133337
0.10337212	-0.28394008		0.101011111	-0.533896141
0.10326514	-0.48996596		0.100865724	-0.429371337
0.10310545	-0.46115242		0.100650398	-0.360728014
0.10300528	-0.38222325		0.100478322	-0.276057748
0.10296069	-0.26099659		0.100364851	-0.166252837
0.10295229	-0.18905085		0.10030917	-0.061916119
0.10293273	-0.21136585		0.099960147	0.009547877
0.10290745	-0.28453477		0.099958202	0.016887488
0.10283378	-0.32335620		0.099940946	-0.024559587
0.10270005	-0.28707660		0.099879977	-0.051955345
0.10251073	-0.21701149		0.099760401	-0.028801732
0.10228522	-0.21657886		0.099583033	0.129519895
0.09301741	-0.34187729		0.093649089	0.450299769
0.09275932	-0.50400791		0.093385125	0.703219509
0.09259881	-0.57679041		0.093169156	0.765072432
0.09249863	-0.52742638		0.092997076	0.784036877
0.09245404	-0.41747363		0.092883604	0.841408385
0.09244564	-0.34695864		0.092827924	0.902106371
0.09246182	-0.37409202		0.093117046	0.927245436
0.09243673	-0.46958976		0.093118568	0.900107979
0.09236307	-0.55472820		0.093101331	0.843262115
0.09222933	-0.58819983		0.093040362	0.797766493
0.09204001	-0.57062456		0.092920785	0.776201668
0.09181450	-0.23840780		0.092743418	0.697314907
0.04591961	0.26816916		0.042877005	0.505981545
0.04546142	0.35775505		0.042374425	0.341963341
0.04529981	0.26260559		0.042157159	0.313426518
0.04519963	0.33265729		0.041985072	0.365472942
0.04515504	0.45020435		0.041871601	0.443751948
0.04514664	0.51959806		0.04181592	0.515927821
0.04511906	0.49269574		0.041373082	0.546264833
0.04509373	0.40996176		0.041370628	0.521394308
0.04502006	0.35329014		0.041353369	0.466084076
0.04488632	0.36210012		0.0412924	0.424620735
0.04469701	0.39631758		0.041172824	0.408801743
0.04447150	0.31551890		0.040995457	0.237389475
0.15055263	0.09218801		0.156818842	-0.240040035
0.15092475	-0.06583623		0.157216196	-0.702421464
0.15076768	-0.06117696		0.157003818	-0.842879043
0.15066752	0.03886238		0.156831758	-0.782039836
0.15062293	0.16507077		0.156718287	-0.680598342
0.15061453	0.23608875		0.156662606	-0.599993393
0.15062035	0.21255966		0.15675193	-0.582208094
0.15059521	0.14270719		0.156752367	-0.623060643
0.15052154	0.11346420		0.156735123	-0.680035558
0.15038781	0.16511233		0.156674155	-0.710384819
0.15019849	0.20046586		0.156554578	-0.69448027
0.14997298	0.23392312		0.156377211	-0.706609767
0.01507135	0.27427950		0.01437372	-0.774670823
0.01412687	0.17170180		0.013370702	-0.738821898
0.01396260	0.07731197		0.013150719	-0.573373256
0.01386241	0.13553885		0.012978617	-0.406266433
0.01381782	0.24600272		0.012865145	-0.263304281
0.01380942	0.31589123		0.012809465	-0.174612532
0.01382326	0.29104785		0.01306737	-0.194034422
0.01379816	0.20298872		0.013068722	-0.276175481
0.01372450	0.12998790		0.013051484	-0.342382921
0.01359076	0.11091928		0.012990515	-0.359085134
0.01340144	0.11598996		0.012870938	-0.307960784
0.01317593	0.28726081		0.012693571	-0.193917684
0.08399164	0.54107453		0.081895767	-0.091304881
0.08417109	0.54593819		0.082039902	-0.058726579
0.08401296	0.50542680		0.081826149	-0.034213326
0.08391280	0.61273237		0.081654081	0.050634229
0.08386821	0.74234011		0.081540609	0.170211996
0.08385981	0.81593141		0.081484929	0.283260496
0.08384173	0.79407807		0.08116222	0.363298979
0.08381646	0.72262599		0.081160419	0.376195521
0.08374279	0.69080991		0.081143163	0.336670943
0.08360905	0.74130365		0.081082194	0.311066959
0.08341974	0.81429080		0.080962618	0.337192277
0.08319423	0.64586019		0.080785251	0.363553843
0.04425939	0.24620413		0.043139169	0.320631327
0.04383922	0.02204364		0.042702963	0.259822147
0.04367782	0.00967923		0.042486058	0.258160623
0.04357764	0.07469088		0.042313973	0.31082744
0.04353305	0.18910305		0.042200502	0.392571344
0.04352465	0.25869917		0.042144821	0.466304432
0.04353052	0.23410829		0.042256298	0.487075793
0.04350538	0.15268359		0.042256855	0.44935773
0.04343172	0.09549661		0.042239612	0.389576635
0.04329798	0.10283399		0.042178644	0.348824258
0.04310866	0.10134416		0.042059067	0.341090612
0.04288315	0.14762176		0.0418817	0.276986264
0.08462215	0.25918608		0.082172529	0.074082427
0.08464273	0.25430803		0.082159633	-0.11828613
0.08448374	0.24532482		0.081945027	-0.144460091
0.08438358	0.35603914		0.081772955	-0.055040775
0.08433898	0.48798052		0.081659484	0.062077308
0.08433058	0.56267817		0.081603803	0.175355392
0.08430550	0.54282771		0.081201014	0.263962276
0.08428019	0.47383592		0.081198777	0.286834047
0.08420652	0.44704187		0.081181519	0.250354323
0.08407278	0.50784581		0.08112055	0.223988412
0.08388347	0.64016260		0.081000974	0.247380457
0.08365796	0.49436108		0.080823607	0.33878515
0.09457235	0.00950982		0.092575851	0.477713829
0.09442453	-0.24863538		0.092407949	0.562592746
0.09426461	-0.24318045		0.092192501	0.567671683
0.09416444	-0.18209531		0.092020424	0.578378893
0.09411985	-0.06836692		0.091906953	0.629438326
0.09411145	0.00288159		0.091851272	0.69429495
0.09414928	-0.01938977		0.09248973	0.738856619
0.09412431	-0.10221707		0.092493149	0.730243052
0.09405065	-0.16484510		0.092475921	0.678381896
0.09391691	-0.16654641		0.092414953	0.630868103
0.09372759	-0.16804432		0.092295376	0.612774427
0.09350208	-0.19715751		0.092118009	0.522013056
-0.02348320	-0.23302959		-0.021171509	0.265434067
-0.02391489	-0.30301622		-0.021555101	0.018210553
-0.02375814	-0.34149165		-0.021342649	-0.062399458
-0.02365799	-0.27269134		-0.021170588	-0.042859373
-0.02361340	-0.15477283		-0.021057117	0.009479416
-0.02360500	-0.08559389		-0.021001436	0.064414569
-0.02361890	-0.11330630		-0.021236224	0.085581559
-0.02359380	-0.19852304		-0.02123745	0.057040395
-0.02352013	-0.25805478		-0.021220211	-0.001254371
-0.02338639	-0.24880100		-0.021159242	-0.050155834
-0.02319708	-0.16716225		-0.021039666	-0.077312302
-0.02297157	-0.14851826		-0.020862299	-0.167265264
0.15786928	-0.21723283		0.156048901	-0.407707611
0.15864984	-0.22720928		0.156778051	-0.668549692
0.15849500	-0.23108364		0.156567475	-0.765116186
0.15839486	-0.20073465		0.156395424	-0.712514998
0.15835027	-0.09229238		0.156281953	-0.612031957
0.15834187	-0.02494263		0.156226273	-0.526544255
0.15833484	-0.05284080		0.156107648	-0.49149112
0.15830963	-0.14187572		0.156106955	-0.515412464
0.15823596	-0.21482567		0.156089705	-0.567194432
0.15810222	-0.23292104		0.156028737	-0.598271751
