File, Period, Phase_Rad, Cycles_Fractional, Zero_Crossings
1/lte_results.csv, 0.095144, 3.3003, 3.030, 6
11/lte_results.csv, 0.043130, -1.6232, 6.344, 13
111/lte_results.csv, 0.042452, 0.3039, 5.743, 11
113/lte_results.csv, 0.043440, 1.1527, 5.869, 12
127/lte_results.csv, 0.039953, -0.7582, 7.792, 16
14/lte_results.csv, 0.043236, -0.6525, 6.156, 13
154/lte_results.csv, 0.049845, 0.2096, 5.013, 10
155/lte_results.csv, 0.044923, 2.2024, 5.462, 11
161/lte_results.csv, 0.032738, -1.9788, 7.867, 16
172/lte_results.csv, 0.043421, 1.2209, 5.851, 12
179/lte_results.csv, 0.043583, 1.3367, 5.839, 12
183/lte_results.csv, 0.041200, 0.3292, 6.136, 12
2/lte_results.csv, 0.041615, 0.6966, 6.736, 13
20/lte_results.csv, 0.042154, 1.2912, 6.520, 13
202/lte_results.csv, 0.040980, -0.2084, 6.023, 12
203/lte_results.csv, 0.043907, 0.0268, 5.554, 11
22/lte_results.csv, 0.044147, -1.2446, 6.254, 13
225/lte_results.csv, 0.033146, 10.0428, 7.166, 14
229/lte_results.csv, 0.043027, 2.8616, 5.609, 12
23/lte_results.csv, 0.043710, -1.3112, 6.309, 13
234/lte_results.csv, 0.033262, -2.2686, 7.344, 14
236/lte_results.csv, 0.043705, 2.9860, 5.521, 11
239/lte_results.csv, 0.043314, -0.2945, 6.006, 12
24/lte_results.csv, 0.043211, -1.4404, 6.320, 13
240/lte_results.csv, 0.044220, 0.3092, 5.882, 11
245/lte_results.csv, 0.041205, -0.1526, 6.795, 14
246/lte_results.csv, 0.048284, 3.0435, 5.404, 11
249/lte_results.csv, 0.043477, 1.1545, 6.055, 12
25/lte_results.csv, 0.042864, -1.2372, 6.303, 13
256/lte_results.csv, 0.042478, -1.1868, 6.026, 12
285/lte_results.csv, 0.044404, 2.4821, 5.646, 12
302/lte_results.csv, 0.043782, 2.6823, 5.579, 12
32/lte_results.csv, 0.043142, 1.7444, 6.344, 13
330/lte_results.csv, 0.044366, -0.3227, 5.525, 11
41/lte_results.csv, 0.039243, -2.8520, 6.423, 12
42/lte_results.csv, 0.049980, 3.0096, 5.095, 11
47/lte_results.csv, 0.043099, -0.0155, 5.595, 12
5/lte_results.csv, 0.036923, 1.5735, 6.676, 13
57/lte_results.csv, 0.042866, -0.7834, 6.204, 13
58/lte_results.csv, 0.043017, -0.0907, 5.592, 12
62/lte_results.csv, 0.042914, -0.6485, 6.175, 13
68/lte_results.csv, 0.043001, -0.6167, 6.191, 13
69/lte_results.csv, 0.043091, -0.6832, 6.187, 13
7/lte_results.csv, 0.042423, 1.1253, 6.508, 13
70/lte_results.csv, 0.043200, -0.6229, 6.174, 13
71/lte_results.csv, 0.042972, -1.0297, 6.260, 13
72/lte_results.csv, 0.042756, -0.7795, 6.241, 13
73/lte_results.csv, 0.042425, -0.9751, 6.303, 13
76/lte_results.csv, 0.043264, -0.6518, 6.168, 13
78/lte_results.csv, 0.043046, -0.6455, 6.182, 13
79/lte_results.csv, 0.042621, -0.8203, 6.222, 13
8/lte_results.csv, 0.043399, -1.4626, 6.299, 13
80/lte_results.csv, 0.043277, -0.7635, 6.177, 13
81/lte_results.csv, 0.043537, 1.2143, 5.863, 12
82/lte_results.csv, 0.043042, -0.7526, 6.198, 13
88/lte_results.csv, 0.043105, -0.6674, 6.172, 13
89/lte_results.csv, 0.043100, -0.5263, 6.192, 13
91/lte_results.csv, 0.043647, -0.5167, 6.119, 13
95/lte_results.csv, 0.044008, -0.5327, 6.130, 13
98/lte_results.csv, 0.043420, 1.2288, 5.857, 12
alaska/lte_results.csv, 0.031052, 0.4258, 8.786, 17
amo/lte_results.csv, 0.041394, -0.6276, 5.789, 12
australia/lte_results.csv, 0.042264, -0.8562, 5.992, 12
baltic/lte_results.csv, 0.043180, -0.5568, 6.160, 13
brestexcl/lte_results.csv, 0.045196, -2.3418, 5.436, 11
britain/lte_results.csv, 0.042140, -0.4040, 5.839, 12
darwin1880/lte_results.csv, 0.042465, -0.9881, 5.945, 12
denison/lte_results.csv, 0.042131, -1.0732, 6.013, 12
ecoast/lte_results.csv, 0.042508, 0.7288, 5.985, 12
emi/lte_results.csv, 0.042617, -0.9326, 5.913, 12
gom/lte_results.csv, 0.041420, 1.2414, 6.016, 12
