t,I,I_model,Manifold,Manifold_Empirical
1925.0000333,-6.0476,1.081441219896619,0.05658717563576226,0.06026887
1925.0833333,-6.7615,0.8807633232820127,0.05654451709553007,0.06015473
1925.1666333,-0.6294,0.4368862734613286,0.05635611394810186,0.0600406
1925.2500333,13.195,0.8478669943381272,0.056119551009440966,0.0597885
1925.3333333,21.327,1.3294626265238785,0.056016759762788006,0.05967437
1925.4166333,25.9206,0.8457023310717675,0.05612011475871394,0.05956023
1925.5000333,35.2063,0.43948053150597843,0.05630191407282143,0.0594461
1925.5833333,27.1074,0.43208538501575156,0.05634192977930431,0.05933196
1925.6666333,21.0085,0.8024314620765001,0.0561316929630595,0.05921783
1925.7500333,24.1402,19.959026643154008,-0.02750242283310067,-0.0266919
1925.8333333,24.7334,20.501346914169567,-0.027594626959922066,-0.02657777
1925.9166333,35.019,19.920644915014908,-0.027496928889219643,-0.02646363
1926.0000333,33.6889,17.98523516468915,-0.027282589654784646,-0.0263495
1926.0833333,40.0513,16.20341859161346,-0.027127661298014014,-0.02623536
1926.1666333,41.952,16.091787273809935,-0.0271184775484394,-0.02612123
1926.2500333,37.0833,16.561967153075766,-0.02715745359009725,-0.0259305
1926.3333333,25.2916,15.404520770300973,-0.027062657939746968,-0.02581636
1926.4166333,21.1922,11.704841566762965,-0.02676171604681783,-0.02570223
1926.5000333,17.1695,8.11308799203783,-0.02638232983570739,-0.02558809
1926.5833333,13.3008,6.9441282081049085,-0.02614472723222182,-0.02547396
1926.6666333,13.4319,6.983093920878744,-0.02615737715135705,-0.02535982
1926.7500333,12.3321,35.0323003080145,0.09657888399555424,0.09573836
1926.8333333,21.4632,35.80635415242536,0.09628921380548056,0.09562422
1926.9166333,33.2865,35.921672916653144,0.09618932497917959,0.09551009
1927.0000333,38.8789,35.90624384972058,0.09620607731661164,0.09539596
1927.0833333,42.5482,35.942791205792446,0.09616341877637959,0.09528182
1927.1666333,40.9098,36.01723406398503,0.09597501562895107,0.09516769
1927.2500333,34.8097,35.9877088426951,0.09573845269029015,0.0950528
1927.3333333,42.0943,35.94745387638512,0.0956356614436377,0.09493866
1927.4166333,41.3018,35.9878864461038,0.09573901643956348,0.09482453
1927.5000333,24.2785,36.01955371137901,0.0959208157536709,0.09471039
1927.5833333,19.1013,36.018483670611005,0.095960831460154,0.09459626
1927.6666333,4.5395,35.99143219221561,0.0957505946439209,0.09448212
1927.7500333,4.4391,6.807085017700755,-0.06670360132915076,-0.06515124
1927.8333333,1.8771,6.844976476446382,-0.06679594729582534,-0.06503711
1927.9166333,-2.6079,6.798432711654005,-0.0666982492251231,-0.06492297
1928.0000333,2.2145,5.889513641375417,-0.06648390999068804,-0.06480884
1928.0833333,9.4216,4.605800968504266,-0.06632898163391729,-0.0646947
1928.1666333,12.8595,4.515263211496582,-0.06631979788434256,-0.06458057
1928.2500333,16.451,4.889020824862309,-0.06635877392600045,-0.06445418
1928.3333333,15.8887,3.9338606576197668,-0.06626397827565036,-0.06434004
1928.4166333,12.6341,0.0909565507136092,-0.0659630363827214,-0.06422591
1928.5000333,12.0716,-5.340291921066048,-0.06558365017161094,-0.06411178
1928.5833333,11.1245,-8.32455818640629,-0.06534604756812516,-0.06399764
1928.6666333,7.3313,-8.181625379733713,-0.06535869748731027,-0.06388351
1928.7500333,24.2301,0.3808385830258736,0.09889034142815463,0.10088029
1928.8333333,27.2829,2.546341504941012,0.09860091784004003,0.10076616
1928.9166333,34.4126,3.890251067513364,0.09850102901373954,0.10065202
1929.0000333,38.6959,3.6460130601311302,0.09851778135117156,0.10053789
1929.0833333,30.3639,4.282080730454398,0.09847512281093918,0.10042375
1929.1666333,25.0318,7.586945394153817,0.09828671966351077,0.10030962
1929.2500333,24.238,12.544341613638986,0.09805015672484996,0.10024479
1929.3333333,18.5212,14.839386653095602,0.09794736547819732,0.10013065
1929.4166333,9.6505,12.531885164142455,0.09805072047412293,0.10001652
1929.5000333,-0.5281,8.661235307322025,0.09823251978823037,0.09990238
1929.5833333,-4.0912,7.863594324448507,0.0982725354947137,0.09978825
1929.6666333,-0.1159,12.276493333311464,0.09806229867849384,0.09967411
1929.7500333,5.7823,7.294678115012657,-0.002098403781107254,-0.0024613
1929.8333333,-0.8579,7.856908593859438,-0.0021907525602598357,-0.00234717
1929.9166333,-3.7289,7.259395152485372,-0.0020930544895577624,-0.00223303
1930.0000333,0.1691,5.668440158720306,-0.0018787152551227187,-0.0021189
1930.0833333,0.3748,4.413583973252057,-0.0017237868983518351,-0.00200476
1930.1666333,-1.8041,4.339543797810719,-0.0017146031487774189,-0.00189063
1930.2500333,-11.6754,4.654850891949478,-0.001753579190435355,-0.00193142
1930.3333333,-9.3929,3.8948197913333686,-0.0016587835400847556,-0.00181728
1930.4166333,-13.4951,1.8663141791697178,-0.001357841647155947,-0.00170315
1930.5000333,-7.8282,1.0524772163258758,-0.000978455436045564,-0.00158901
1930.5833333,-18.1612,1.8856798250729638,-0.0007408528325595583,-0.00147488
1930.6666333,-15.1866,1.814523081765552,-0.0007535027517909104,-0.00136074
1930.7500333,-9.4429,-12.63168328927817,0.07264175557058777,0.07181729
1930.8333333,-8.0069,-3.0341848141885466,0.07235222045901905,0.07170315
1930.9166333,0.4291,-0.19692209406432104,0.07225233163271838,0.07158902
1931.0000333,13.0957,-0.650193409272112,0.07226908397015037,0.07147488
1931.0833333,14.3008,0.48475715099957295,0.07222642542991811,0.07136075
1931.1666333,19.5827,4.655906743836011,0.07203802228248983,0.07124661
1931.2500333,27.8645,7.615130704076786,0.07180145934382898,0.07123041
1931.3333333,29.531,8.023846886677862,0.07169866809717615,0.07111627
1931.4166333,15.8897,7.611385982950262,0.0718020230931022,0.07100214
1931.5000333,20.9405,5.572229060900655,0.07198382240720967,0.070888
1931.5833333,34.2222,4.908748801938984,0.07202383811369241,0.07077387
1931.6666333,41.0423,7.530878060437259,0.07181360129756444,0.07065973
1931.7500333,42.6314,42.70890411023811,0.13637082873094736,0.13889425
1931.8333333,46.0668,40.497122643256134,0.13608095765719636,0.13878012
1931.9166333,51.9636,39.42738497882914,0.1359810688308959,0.13866598
1932.0000333,58.2449,39.61654766995186,0.13599782116832793,0.13855185
1932.0833333,60.3724,39.12757273475765,0.13595516262809548,0.13843771
1932.1666333,57.1921,36.716854104394756,0.13576675948066702,0.13832358
1932.2500333,56.0117,33.3210597899773,0.1355301965420062,0.1381389
1932.3333333,42.9082,31.81039994931002,0.13542740529535363,0.13802477
1932.4166333,39.7278,33.3293588001504,0.13553076029127928,0.13791064
1932.5000333,36.5472,35.963492768894724,0.1357125596053867,0.1377965
1932.5833333,36.5974,36.52175149567188,0.13575257531186993,0.13768237
1932.6666333,9.263,33.49975043147941,0.13554233849560832,0.13756823
1932.7500333,20.3899,8.75234870361496,-0.040563757472090727,-0.03686413
1932.8333333,19.6707,9.621387420253765,-0.040656042801993454,-0.03674999
1932.9166333,18.5669,8.70141355681651,-0.04055834473129132,-0.03663586
1933.0000333,18.7706,6.789707836295041,-0.04034400549685627,-0.03652172
1933.0833333,25.4359,5.683530902578718,-0.040189077140085426,-0.03640759
1933.1666333,24.2549,5.629006141228355,-0.04017989339051105,-0.03629345
